player,opponent,team,opponent_team,kill,death,tourney_type,match_id,map,game_id,total_round,ot,win_lose,agent,role_agent
t3xture,xeta,GES,T1,1.0,3.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,win,Jett,Duelist
Bazzi,xeta,GES,T1,2.0,3.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,win,Skye,Initiator
WRONSKI,Carpe,GES,T1,2.0,1.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,win,Kayo,Initiator
t3xture,Carpe,GES,T1,5.0,2.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,win,Jett,Duelist
WRONSKI,Munchkin,GES,T1,2.0,2.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,win,Kayo,Initiator
t3xture,Munchkin,GES,T1,4.0,2.0,League Play: Week 1,184457.0,Haven,119516.0,17.0,No,win,Jett,Duelist
Sayaplayer,AYRIN,T1,GES,3.0,4.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,win,Jett,Duelist
xeta,AYRIN,T1,GES,4.0,3.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,win,Harbor,Controller
Carpe,AYRIN,T1,GES,3.0,1.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,win,Skye,Initiator
xeta,WRONSKI,T1,GES,6.0,1.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,win,Harbor,Controller
Carpe,WRONSKI,T1,GES,1.0,2.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,win,Skye,Initiator
Munchkin,WRONSKI,T1,GES,4.0,3.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,win,Killjoy,Sentinel
Sayaplayer,t3xture,T1,GES,5.0,1.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,win,Jett,Duelist
xeta,t3xture,T1,GES,3.0,4.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,win,Harbor,Controller
Carpe,t3xture,T1,GES,3.0,1.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,win,Skye,Initiator
Munchkin,t3xture,T1,GES,6.0,4.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,win,Killjoy,Sentinel
Sayaplayer,Bazzi,T1,GES,2.0,1.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,win,Jett,Duelist
xeta,Bazzi,T1,GES,3.0,4.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,win,Harbor,Controller
Carpe,Bazzi,T1,GES,4.0,5.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,win,Skye,Initiator
Munchkin,Bazzi,T1,GES,5.0,2.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,win,Killjoy,Sentinel
AYRIN,Sayaplayer,GES,T1,4.0,3.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,lose,Killjoy,Sentinel
t3xture,Sayaplayer,GES,T1,1.0,5.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,lose,Raze,Duelist
Bazzi,Sayaplayer,GES,T1,1.0,2.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,lose,Breach,Initiator
AYRIN,xeta,GES,T1,3.0,4.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,lose,Killjoy,Sentinel
WRONSKI,xeta,GES,T1,1.0,6.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,lose,Jett,Duelist
t3xture,xeta,GES,T1,4.0,3.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,lose,Raze,Duelist
Bazzi,xeta,GES,T1,4.0,3.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,lose,Breach,Initiator
AYRIN,Carpe,GES,T1,1.0,3.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,lose,Killjoy,Sentinel
WRONSKI,Carpe,GES,T1,2.0,1.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,lose,Jett,Duelist
t3xture,Carpe,GES,T1,1.0,3.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,lose,Raze,Duelist
Bazzi,Carpe,GES,T1,5.0,4.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,lose,Breach,Initiator
WRONSKI,Munchkin,GES,T1,3.0,4.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,lose,Jett,Duelist
t3xture,Munchkin,GES,T1,4.0,6.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,lose,Raze,Duelist
Bazzi,Munchkin,GES,T1,2.0,5.0,League Play: Week 1,184457.0,Lotus,119517.0,20.0,No,lose,Breach,Initiator
mindfreak,Reita,PRX,DFM,1.0,2.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Astra,Controller
Jinggg,Reita,PRX,DFM,5.0,3.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Phoenix,Duelist
Benkai,Reita,PRX,DFM,4.0,5.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Killjoy,Sentinel
d4v41,Reita,PRX,DFM,2.0,1.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Skye,Initiator
f0rsakeN,Reita,PRX,DFM,3.0,2.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Jett,Duelist
Jinggg,Suggest,PRX,DFM,1.0,3.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Phoenix,Duelist
Benkai,Suggest,PRX,DFM,6.0,3.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Killjoy,Sentinel
d4v41,Suggest,PRX,DFM,2.0,2.0,League Play: Week 1,184458.0,Pearl,119518.0,18.0,No,win,Skye,Initiator
